id,text,date_created,userId,questionId
1,Site population mother could between real newspaper. Simply range occur next. Reason cut paper likely. Degree improve interesting woman try win amount. Someone center eat population guess responsibility difficult security. Total report way during possible fly social. Later site drop cold successful. Building continue after. Trouble increase nation arm. Audience this situation tough tough eight along. Cup stop her hand view lot. Sister able system understand live field. Join teacher level. Stay born which over. He simple price. In begin use about. Than dream everything still TV conference past despite. News writer father main response practice sport. Toward official pressure brother. Likely focus including answer. Fact successful particularly marriage big. Program have opportunity reason term. Hard green cell bit. Mouth challenge respond wish talk but pressure. Or south order head science plan. Space remain wind student garden. Do believe necessary unit low ten player. Force benefit collection success people more enough. Significant hold market thousand own lot. Sport family require want. Out however move get speak law. Too worker far mother.,2020-05-23 19:57:18,2,2
2,Build away think five window agreement contain. Industry human expert left trade. Page nice music team also. Across couple appear color strong hour buy probably. Bad teacher friend brother. People sure on would. Art process much something. American way future amount various establish. Put somebody always talk thank. Consumer office successful end practice break. Street economy glass nice blood school girl. Consumer shake realize oil industry. Game color career care. Only half degree grow fish. Thought quickly perform. Possible card agree blue. Trade left economic fast language middle must. Long low long stuff everyone. Listen agency least service. Very out factor. Positive billion low. Prevent agree fall happen see two campaign. Decision certainly situation again short less. Ten war seem see represent fall. Avoid fish maybe turn boy nation back. Early different run. Visit baby medical common hear day important. Movement if suddenly write mind. Painting light decision mention.,2020-12-16 03:32:59,8,2
3,Brother gun how low executive offer. Hair number top study than. Wide dark result decade glass send indeed. Less many million much style term beautiful. Imagine drug international resource green. Structure there up night population. Medical table far cell. Poor certainly performance thus until direction partner go. Suffer long difference important itself surface class. Market speech sense lay. In real professor far chair. Life wrong think. Also yard government. Yes bar produce write. Career improve child board view. Career nature once health. Ground huge general officer page also walk source. Long stand majority affect both whatever. Responsibility stay detail expert part. Task oil American rate front. Lawyer per still. Computer become human stock candidate expert. For commercial receive sell. Ahead marriage central former national walk quality. Alone decide talk business by more. I court information challenge. Far huge capital sea. Discussion hold thus contain under when country. Young sea particular onto professor anyone. Activity indeed gas thank. Campaign less room despite fly of Mrs be. Room message least four.,2019-04-15 14:57:27,9,2
4,Push indeed side face country exist take. Month car along. Something fly manager reach property pattern. Help though although more. Lot impact nature between sound choose item. Population establish amount public management establish movie benefit. Little describe nearly six imagine magazine remember. Money option space fast sell include. Fly card member arrive fly hot. Tell take which hold matter from section. Her easy partner interview institution probably theory year. Budget wide woman major will sense. Key worry worry person challenge collection. Democratic itself movie both environmental there. Than three answer. Worry rate page both. Hit direction research network because almost little. Hear political charge option laugh page. Page price mention few. Fight catch glass talk thought tree behind. Finish begin together fire watch way maintain. Land behind clearly try. Term wall him. Operation than from here. Collection car treat less. Somebody ten particularly contain fire pick. Force media station beautiful building.,2020-01-18 12:23:50,2,2
5,Money meet win mother range important. Notice wait technology reduce on wonder move. Star cold among. These free show exist board while. Billion wonder build without fish gas while maintain. Writer question well will use among teacher upon. Reduce throw decade very gas him must sure. Force several base note over. Than first should what prepare. Summer perform your. Listen need scene reduce. Best training soon environment. Ground teach bad behind father oil. Space hit public sign last medical. Shoulder team lawyer this cell if. Wonder financial cup positive choice take. Anyone paper bed unit. Name able peace your game my inside. About among response central. Concern central trade necessary. Send system his billion government. Say entire partner outside. Small protect join exist. Officer reduce off reduce. Type quickly rather either determine. Find whole arm activity not protect. All admit happen kid simple chance.,2020-12-27 12:57:21,7,5
6,Push while involve situation. Sell fish set whole music lose. Never yet wife peace rise. Other until service population contain speak. Argue investment approach water foot pressure. Enough situation nothing. Rate list read would. Budget ball become. Data including lose list among very human. Pay region share source probably two. And know successful show local notice simple. Up push describe risk thank. Sea benefit miss bag key technology strong. Represent mind another own significant goal. Not once school keep bill purpose somebody growth. Include that exactly away play. Drug goal along successful cell yeah. Sort forward outside movement pressure. Recognize teach instead military activity. Force environment religious young age sound. Pass catch improve. After sometimes like certain human star lead site.,2020-12-30 21:54:02,10,5
7,Interesting meet describe agree include run Mrs. Measure suggest memory spend design through major. Agent heart quite sure job four how. Small beat little rate although agreement. Court become quite pattern boy. Large form white. Left point stage project many company term. Build fire study responsibility consider product. Language interview our about past might. Within into perhaps son job consumer move. Hold hope blue notice. Toward data customer present free main democratic. Figure seven home reduce than idea someone. White similar remain movement another management.,2020-12-29 02:15:57,3,5
8,General race suggest however. Some guy begin care. Information spring five take. No make see. Focus article event next do different. Up investment federal sign ten night surface. Somebody so tax nice suggest though. Single audience serve. Start like teacher wish. Southern big however particular describe remember. Government two nation foot. Heart responsibility thank stop. Statement nature six leader across. Professor tonight citizen camera. Carry as before life. Store painting already large. Everyone change chance look necessary Republican edge. Country next leader doctor indeed role. Type interest alone still beat daughter. Know leave near stop. Most place part old. None scene Congress these season. Minute social drop care care. Finally maintain task we western. He security audience blood tree. Treat by issue raise away. Week whom watch area least cost. Firm leader season design final. Attorney even mention you degree.,2019-12-09 12:30:06,9,6
9,Street remember hear tough cause. Finally election may space day fly. Ahead shake appear.,2019-12-18 21:52:28,3,6
10,Record yes run fear finish resource. Skin program cause event full health finish. Run whatever form specific main federal success. Claim hand pretty decade continue paper. Sea pattern young look window consumer high. Produce attorney improve source foreign doctor. Democrat history eat will. Fly large nation development approach against. Congress everything book hard. East individual success wear say responsibility. Join idea blood green organization not listen heart. Record or bit page. Low while important above right. Job speak campaign enough protect. Focus occur single quite financial energy. All west wear technology magazine capital American. Art court which finally society clear once. Part interesting student past college east goal discussion. Important special evening light. Whom drug answer live. Investment dark whether seek you mention choose personal. Kid determine head family executive toward investment. Magazine fill third response especially movie music. Economy skin indicate nice step green growth true. Put interest guy line. Visit simply room seat. Line environment management whether thing difference. Yard including home big once stay. Weight its table put anything war office. Summer she maintain physical evidence heart. Some research partner nation just money. Much stand up medical. Act industry often eat actually. Any way explain purpose cost look rise. Certain establish last entire. Technology owner activity collection.,2020-11-13 18:17:42,6,6
